zona,female,youth,elderly,av,pop,valor_m2
23,0.5,0.35,0.12,0.162,0,82512.0
19,0.515,0.393,0.116,0.093,8939,54472.0
28,0.5,0.35,0.12,0.203,0,158059.0
27,0.519,0.311,0.213,0.162,1714,82512.0
21,0.509,0.334,0.172,0.093,3628,54472.0
22,0.514,0.306,0.225,0.162,3379,82512.0
68,0.5,0.35,0.12,0.3,0,354695.0
67,0.495,0.359,0.081,0.3,4079,354695.0
74,0.5,0.35,0.12,0.13,0,63938.0
41,0.514,0.278,0.213,0.162,5130,115910.0
43,0.512,0.313,0.192,0.093,4009,53579.0
26,0.505,0.367,0.128,0.162,6452,102158.0
38,0.49,0.294,0.183,0.162,5301,102158.0
37,0.509,0.3,0.204,0.162,4051,102158.0
61,0.543,0.245,0.29,0.203,3227,213960.0
60,0.524,0.235,0.252,0.3,2318,396308.0
45,0.505,0.332,0.171,0.093,4054,53579.0
63,0.52,0.286,0.211,0.3,4105,392915.0
73,0.5,0.35,0.12,0.162,0,130019.0
31,0.518,0.277,0.192,0.203,4950,170918.0
48,0.5,0.35,0.12,0.3,0,330049.0
49,0.5,0.35,0.12,0.3,0,293793.0
51,0.521,0.267,0.135,0.3,4090,330049.0
50,0.514,0.256,0.182,0.3,3131,330049.0
53,0.515,0.264,0.198,0.203,4466,170918.0
34,0.494,0.387,0.1,0.093,3819,54472.0
40,0.5,0.35,0.12,0.093,0,54472.0
35,0.494,0.352,0.167,0.093,4644,54472.0
36,0.502,0.304,0.219,0.162,5060,102158.0
39,0.512,0.337,0.18,0.162,10111,94300.0
72,0.5,0.35,0.12,0.162,0,130019.0
18,0.499,0.312,0.182,0.162,4376,82512.0
2,0.505,0.351,0.185,0.13,9007,71975.0
7,0.514,0.347,0.196,0.13,3707,71975.0
20,0.499,0.32,0.169,0.162,2948,82512.0
14,0.5,0.35,0.12,0.162,0,130019.0
15,0.498,0.302,0.197,0.162,3799,82512.0
9,0.5,0.35,0.12,0.162,0,130019.0
10,0.502,0.361,0.092,0.162,7481,116088.0
5,0.516,0.299,0.202,0.203,3764,166453.0
24,0.504,0.316,0.107,0.3,6877,283792.0
25,0.51,0.327,0.168,0.203,3042,158059.0
6,0.5,0.35,0.12,0.13,0,71975.0
17,0.507,0.381,0.12,0.093,9559,54472.0
16,0.503,0.353,0.158,0.093,4586,54472.0
4,0.513,0.334,0.131,0.162,2390,130019.0
76,0.504,0.357,0.079,0.3,12632,231105.0
75,0.513,0.333,0.11,0.3,12493,231105.0
79,0.5,0.35,0.12,0.203,0,171454.0
13,0.5,0.35,0.12,0.093,0,38577.0
71,0.5,0.35,0.12,0.162,0,130019.0
70,0.5,0.35,0.12,0.162,0,130019.0
78,0.418,0.424,0.008,0.093,1231,53044.0
77,0.488,0.385,0.047,0.203,11932,171454.0
55,0.515,0.379,0.111,0.093,9570,53579.0
103,0.501,0.386,0.125,0.093,6571,53579.0
47,0.5,0.35,0.12,0.093,0,53579.0
102,0.508,0.364,0.135,0.093,6229,53579.0
46,0.5,0.35,0.12,0.093,0,53579.0
99,0.5,0.35,0.12,0.203,0,170918.0
32,0.51,0.282,0.19,0.203,2910,170918.0
85,0.514,0.285,0.165,0.203,4230,148236.0
30,0.524,0.258,0.23,0.203,2403,170918.0
42,0.5,0.35,0.12,0.162,0,130019.0
101,0.506,0.338,0.17,0.13,10009,66260.0
83,0.511,0.272,0.214,0.203,4310,155201.0
59,0.5,0.35,0.12,0.093,0,53579.0
58,0.545,0.243,0.207,0.3,3020,446851.0
86,0.5,0.35,0.12,0.203,0,155201.0
97,0.518,0.251,0.185,0.3,3968,404345.0
57,0.529,0.242,0.172,0.3,3586,327370.0
98,0.529,0.267,0.216,0.3,2643,404345.0
52,0.5,0.35,0.12,0.3,0,330049.0
62,0.5,0.35,0.12,0.3,0,290757.0
81,0.52,0.29,0.166,0.203,4861,213960.0
82,0.513,0.326,0.143,0.3,4867,231284.0
64,0.5,0.35,0.12,0.162,0,130019.0
93,0.5,0.35,0.12,0.3,0,358981.0
80,0.527,0.262,0.247,0.203,3456,168775.0
65,0.5,0.35,0.12,0.162,0,130019.0
44,0.5,0.35,0.12,0.093,0,53579.0
100,0.5,0.35,0.12,0.162,0,130019.0
104,0.505,0.256,0.199,0.203,2488,170918.0
33,0.5,0.35,0.12,0.203,0,170918.0
1,0.514,0.36,0.176,0.13,2730,71975.0
96,0.511,0.41,0.086,0.13,15555,55901.0
91,0.5,0.35,0.12,0.162,0,82869.0
90,0.497,0.312,0.098,0.3,2844,319511.0
69,0.51,0.323,0.161,0.3,3998,319511.0
12,0.519,0.442,0.05,0.203,11328,175026.0
94,0.513,0.369,0.075,0.162,8265,95550.0
105,0.514,0.386,0.124,0.13,20161,71975.0
11,0.513,0.414,0.093,0.13,2844,64474.0
3,0.504,0.31,0.189,0.162,4626,130019.0
84,0.517,0.359,0.152,0.13,11222,71975.0
8,0.5,0.35,0.12,0.203,0,165917.0
92,0.511,0.312,0.204,0.13,6369,71975.0
66,0.509,0.315,0.077,0.3,6556,358981.0
89,0.516,0.25,0.229,0.3,1660,458639.0
56,0.514,0.272,0.202,0.203,3845,170918.0
87,0.5,0.35,0.12,0.3,0,368983.0
29,0.506,0.308,0.144,0.203,5116,144664.0
95,0.5,0.35,0.12,0.162,0,102158.0
88,0.5,0.35,0.12,0.162,0,102158.0
54,0.506,0.332,0.179,0.093,5757,53579.0
